song_id,country,Number_of_times
AWf6YD/4pWZ2FLafcDQyivi+sQ==,AR,1428
Bq3FUlexj+Oi6Jdua0rdHgGpuA==,BE,2947
A+47QLTduLD8hkJBMxrIwCaeSg==,BE,2264
CIuQae501R7q66jcgeDveLAgrw==,BE,1640
CXA/+pabOzzmbtCjqaLKwTgF9g==,BE,1539
BVgiSQcStJY9qniCAFA1C3OKTg==,BR,55389
CjusiJanBMNPHEuHJUy0Npra3g==,BR,47904
CA9EGcvCfFsRg3DeQtq/c989vA==,BR,47883
B+v5SSOG1p66hkbbpfzdS+ln+Q==,BR,33299
CmumiecfQWF+eWaouYEioSfTaQ==,BR,28432
AedS5ksCMnor70eaIFhx7o8aZg==,BR,26701
B+38U0V2gd3HxXgPisZx8tRccA==,BR,17739
CTnrze2/9Blqt58hhvRyJEJaxQ==,BR,17164
Cp1XQkgl5F1UUUr0YoCCPFKivg==,BR,16147
B7CTiqHImBNz9w4WGo5YK5P6xw==,BR,15950
CE7CZjVN4HwGh2eJzQn6MlBxEw==,BR,14840
BReHySlJVarI6jDQJAnAKO8USw==,BR,14801
AG2vwQOt/tX7rrxONDmppmVNvg==,BR,14608
CjbPO8GSKN1loN7D5cp6b955DA==,BR,14287
Aclm7Fsh+gCCxSdOVWIB/kf/yA==,BR,14107
BuN1OQ9UPNkP2BB9I/CkCvowrQ==,BR,13355
CqQIZRB9m+giw76Cw5JsTkgkeg==,BR,12551
Bi89cIxKTjSvje74G28WDHLJ6g==,BR,11801
BLlcHIO99BsBCpU1bE0QObNxJg==,BR,11693
BWA2etFy2C9IyhbJmETK7+TRtA==,BR,10076
CJTrMc9SB++V/Zo1NCIXVQeLUw==,BR,9847
B+FAmlZUTSEtqCjRsMETk74qTw==,BR,9773
CXetF6R6qYnlRImrcQ8plzVdTA==,BR,9770
AKlYlWcABFmDuOQD30qEP/xMUw==,BR,9744
Ak8LBru+4fMqDeubUzbR4/FAsA==,BR,9537
CO3LZPViSSFQVQfDef9OIz/7JA==,BR,8754
BwrphbXTHCUAPzZFJpssW6tIzw==,BR,8729
CqpKTqbUSnYQBHtTUJsNnedEWw==,BR,8680
A6xjtiTbllfC8V1iW8nXvy381w==,BR,8149
Cmp+6lo7LyJMS07NhkLqLBYa4w==,BR,8016
BmLOgPcSaN8exXiZIApDYzYBJg==,BR,7919
BjiKq+qLWDoFwVJvCiHDpH+bOg==,BR,7825
Cac8dpMBlO9t667Uvcd6LJxV1w==,BR,7671
A+pzzwYhunbhsJvYtzCZg0bd5w==,BR,7641
CWK2JvDKAX2VfqzG2SvVTl+a1Q==,BR,7529
CZ+3vCIZns050UJhltytKIXRRw==,BR,7516
A87tgaDMbcw/17ZNc8dQYCIaWQ==,BR,7477
BBhH740pNZ2y/chQgvjDlgFQoQ==,BR,7454
CJppoNZrG7HEnjCq3QH+hiXSJQ==,BR,7442
BrvdU8NN9sEg5KQ8PZQ1nNsrhw==,BR,7397
AgQSMpnR/EzDM5cwL/aJegCThA==,BR,7206
Cbvh5HHH4hRivWpKLry8nTCTCw==,BR,6766
BdKavkKbkipM/b8VWim4dWSqwQ==,BR,6519
BY8kegkOWiAGyvuEcRIQkaqdEQ==,BR,6462
B8hliuEbrmIzgh/0u3EKKYXLrA==,BR,6169
BZdbFD3OhYAk1klEae2kFz24iA==,BR,6123
B32RfUVaYnmrnVxt9Gb4I8PZnw==,BR,6110
CUECZVW9bo44QlbNuSr7alp38w==,BR,6094
AlvWMreM4sB3PI2rKQcBpAIRIQ==,BR,6037
B51Vty0wBW8sRdH++DeHhkwbsA==,BR,5847
BkRyHkQfwG04tMn+f/Ke3zMoUw==,BR,5757
ACXu7/8Vq1419bjBWETHpdg31w==,BR,5676
A2wHDoNFix/cYHy/onP7ODk5PA==,BR,5641
BbdGEPhqSPU7dksNcXm+Nx1NKw==,BR,5627
Ci8kzCD5KSirga89tkTD6xf7zg==,BR,5617
BTZTFelr0Nt/Kr7gfWbhAnCpqA==,BR,5500
BZRkIs64pseMpyB+wBzM/X0zFQ==,BR,5494
Cd0tLs7nfvLDJKQbol8ljxHLZQ==,BR,5460
CNsQ4NwLWtwUqCg67OLRcXKvkg==,BR,5432
AxI9LE5NJjLxYywgvz909OG15w==,BR,5398
BqyPp0Ui5cWS7ra60d4+VFnMGA==,BR,5353
AyVZbv4I3NyllCi9ixHYNc0GWw==,BR,5288
BSwBbFaz3CRFwKNWKWWRAe+JNw==,BR,5273
AWf6YD/4pWZ2FLafcDQyivi+sQ==,BR,5225
CVlcPW0RJiIDwaYPvv/2SXibcg==,BR,5191
BIDt3PE5VixRYMkQ06UAbbrlTg==,BR,4892
CEXDFSkOtRmsWKwsPJWWpuEfjA==,BR,4811
CaO5YHqeXkuMca6qKMK/ufbB0A==,BR,4716
B/X1FjGDVtXdE96BvLeNfzP1BQ==,BR,4714
AH9io/UUkTRJdaXF+avTsywmYw==,BR,4627
B2PHmzlLN/2XwWyat4NU8QI6UA==,BR,4573
CNJEyZk32HliopPJiVwkUkbmtw==,BR,4437
